,precision,recall,f1-score,support
Spizella passerina,0.3333333333333333,0.3333333333333333,0.3333333333333333,15.0
Spizella pusilla,0.7142857142857143,0.6666666666666666,0.6896551724137931,15.0
Spizelloides arborea,0.9,0.6,0.72,15.0
Steatoda grossa,0.41379310344827586,0.8,0.5454545454545454,15.0
Steatoda nobilis,0.3684210526315789,0.4666666666666667,0.4117647058823529,15.0
Steatoda triangulosa,0.75,0.2,0.3157894736842105,15.0
Sturnus vulgaris,0.5,0.6666666666666666,0.5714285714285714,15.0
Subcoccinella vigintiquatuorpunctata,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
Takydromus amurensis,1.0,0.7333333333333333,0.8461538461538461,15.0
Tanacetum parthenium,0.7272727272727273,0.5333333333333333,0.6153846153846154,15.0
Teira dugesii,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
Theba pisana,0.625,0.3333333333333333,0.43478260869565216,15.0
Thryothorus ludovicianus,0.5714285714285714,0.5333333333333333,0.5517241379310345,15.0
Trifolium pratense,0.75,0.8,0.7741935483870968,15.0
Trifolium repens,0.6875,0.7333333333333333,0.7096774193548387,15.0
Tripleurospermum inodorum,0.8333333333333334,0.6666666666666666,0.7407407407407407,15.0
Turdus migratorius,0.43478260869565216,0.6666666666666666,0.5263157894736842,15.0
Uta stansburiana,0.7692307692307693,0.6666666666666666,0.7142857142857143,15.0
Xerarionta stearnsiana,0.7777777777777778,0.4666666666666667,0.5833333333333334,15.0
Xeroplexa intersecta,0.9,0.6,0.72,15.0
Xerotricha conspurcata,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0
Zachrysia provisoria,0.6,0.8,0.6857142857142857,15.0
Zonotrichia albicollis,0.4444444444444444,0.26666666666666666,0.3333333333333333,15.0
Zonotrichia atricapilla,0.6666666666666666,0.5333333333333333,0.5925925925925926,15.0
Zonotrichia capensis,0.8235294117647058,0.9333333333333333,0.875,15.0
Zonotrichia leucophrys,0.4,0.13333333333333333,0.2,15.0
Zootoca vivipara,0.75,0.6,0.6666666666666666,15.0
Zosis geniculata,0.6875,0.7333333333333333,0.7096774193548387,15.0
Zygiella x-notata,0.35714285714285715,0.35714285714285715,0.35714285714285715,14.0
accuracy,0.6294888043937473,0.6294888043937473,0.6294888043937473,0.6294888043937473
macro avg,0.641923182865867,0.6293248945147679,0.6221840255553124,2367.0
weighted avg,0.642020517634493,0.6294888043937473,0.6223187080157037,2367.0
