,precision,recall,f1-score,support
Adalia bipunctata,0.3125,0.3333333333333333,0.3225806451612903,15.0
Adalia decempunctata,0.2727272727272727,0.2,0.23076923076923078,15.0
Amanita aprica,0.8888888888888888,0.5333333333333333,0.6666666666666666,15.0
Amanita augusta,0.8235294117647058,0.9333333333333333,0.875,15.0
Amanita basii,0.9,0.6,0.72,15.0
Amanita caesarea,0.7777777777777778,0.4666666666666667,0.5833333333333334,15.0
Amanita citrina,0.47368421052631576,0.6,0.5294117647058824,15.0
Amanita cokeri,0.5714285714285714,0.5333333333333333,0.5517241379310345,15.0
Amanita crenulata,0.5384615384615384,0.4666666666666667,0.5,15.0
Amanita flavoconia,0.7142857142857143,0.3333333333333333,0.45454545454545453,15.0
Amanita flavorubens,0.8333333333333334,0.3333333333333333,0.47619047619047616,15.0
Amanita frostiana,0.75,0.8,0.7741935483870968,15.0
Amanita jacksonii,0.5,0.7142857142857143,0.5882352941176471,14.0
Amanita muscaria,0.5882352941176471,0.6666666666666666,0.625,15.0
Amanita pantherina,0.5,0.4,0.4444444444444444,15.0
Amanita pantherinoides,0.6875,0.7333333333333333,0.7096774193548387,15.0
Amanita parcivolvata,0.2222222222222222,0.4,0.2857142857142857,15.0
Amanita persicina,0.36666666666666664,0.7333333333333333,0.4888888888888889,15.0
Amanita regalis,0.7,0.4666666666666667,0.56,15.0
Amanita rubescens,0.3333333333333333,0.2,0.25,15.0
Amanita velatipes,0.5,0.8,0.6153846153846154,15.0
Amanita wellsii,0.7,0.4666666666666667,0.56,15.0
Amanita xanthocephala,0.8181818181818182,0.6,0.6923076923076923,15.0
Anguis fragilis,0.8,0.8,0.8,15.0
Aphanostephus ramosissimus,0.3793103448275862,0.7333333333333333,0.5,15.0
Araneus diadematus,0.3888888888888889,0.4666666666666667,0.42424242424242425,15.0
Araneus pegnia,0.5333333333333333,0.5714285714285714,0.5517241379310345,14.0
Arctotis acaulis,0.8333333333333334,1.0,0.9090909090909091,15.0
Argiope aurantia,0.7272727272727273,0.5333333333333333,0.6153846153846154,15.0
Arianta arbustorum,0.3,0.4,0.34285714285714286,15.0
Bellis annua,0.9090909090909091,0.6666666666666666,0.7692307692307693,15.0
Bellis perennis,0.5454545454545454,0.4,0.46153846153846156,15.0
Bellis sylvestris,0.5,0.4,0.4444444444444444,15.0
Bidens alba,0.9,0.6,0.72,15.0
Brachyscome decipiens,1.0,1.0,1.0,15.0
Bradybaena similaris,0.3333333333333333,0.26666666666666666,0.2962962962962963,15.0
Cantareus apertus,0.5263157894736842,0.6666666666666666,0.5882352941176471,15.0
Cepaea hortensis,0.38461538461538464,0.3333333333333333,0.35714285714285715,15.0
Cepaea nemoralis,0.4444444444444444,0.5333333333333333,0.48484848484848486,15.0
