,precision,recall,f1-score,support
Adalia bipunctata,0.5,0.5333333333333333,0.5161290322580645,15.0
Adalia decempunctata,0.5625,0.6,0.5806451612903226,15.0
Amanita aprica,0.3888888888888889,0.4666666666666667,0.42424242424242425,15.0
Amanita augusta,0.3076923076923077,0.26666666666666666,0.2857142857142857,15.0
Amanita basii,0.8235294117647058,0.9333333333333333,0.875,15.0
Amanita caesarea,1.0,0.7333333333333333,0.8461538461538461,15.0
Amanita citrina,0.6666666666666666,0.8,0.7272727272727273,15.0
Amanita cokeri,0.75,0.6,0.6666666666666666,15.0
Amanita crenulata,0.3181818181818182,0.4666666666666667,0.3783783783783784,15.0
Amanita flavoconia,0.5714285714285714,0.5333333333333333,0.5517241379310345,15.0
Amanita flavorubens,0.7777777777777778,0.4666666666666667,0.5833333333333334,15.0
Amanita frostiana,0.6666666666666666,0.4,0.5,15.0
Amanita jacksonii,0.4583333333333333,0.7857142857142857,0.5789473684210527,14.0
Amanita muscaria,1.0,0.6666666666666666,0.8,15.0
Amanita pantherina,0.7777777777777778,0.4666666666666667,0.5833333333333334,15.0
Amanita pantherinoides,0.625,0.6666666666666666,0.6451612903225806,15.0
Amanita parcivolvata,0.6923076923076923,0.6,0.6428571428571429,15.0
Amanita persicina,0.375,0.6,0.46153846153846156,15.0
Amanita regalis,0.75,0.8,0.7741935483870968,15.0
Amanita rubescens,0.5,0.4666666666666667,0.4827586206896552,15.0
Amanita velatipes,0.8,0.5333333333333333,0.64,15.0
Amanita wellsii,0.7692307692307693,0.6666666666666666,0.7142857142857143,15.0
Amanita xanthocephala,0.9375,1.0,0.967741935483871,15.0
Anguis fragilis,0.7777777777777778,0.9333333333333333,0.8484848484848485,15.0
Aphanostephus ramosissimus,0.5555555555555556,0.6666666666666666,0.6060606060606061,15.0
Araneus diadematus,0.6,0.4,0.48,15.0
Araneus pegnia,0.42857142857142855,0.42857142857142855,0.42857142857142855,14.0
Arctotis acaulis,0.75,1.0,0.8571428571428571,15.0
Argiope aurantia,0.6,0.6,0.6,15.0
Arianta arbustorum,0.6,0.6,0.6,15.0
Bellis annua,0.6875,0.7333333333333333,0.7096774193548387,15.0
Bellis perennis,0.42857142857142855,0.6,0.5,15.0
Bellis sylvestris,0.7,0.9333333333333333,0.8,15.0
Bidens alba,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0
Brachyscome decipiens,0.8823529411764706,1.0,0.9375,15.0
Bradybaena similaris,0.7692307692307693,0.6666666666666666,0.7142857142857143,15.0
Cantareus apertus,0.625,0.6666666666666666,0.6451612903225806,15.0
Cepaea hortensis,0.8,0.5333333333333333,0.64,15.0
Cepaea nemoralis,0.5625,0.6,0.5806451612903226,15.0
Cheilomenes sexmaculata,0.7142857142857143,1.0,0.8333333333333334,15.0
Chilocorus cacti,0.7222222222222222,0.8666666666666667,0.7878787878787878,15.0
Chilocorus renipustulatus,0.8823529411764706,1.0,0.9375,15.0
Chondestes grammacus,0.4166666666666667,0.6666666666666666,0.5128205128205128,15.0
Coccinella septempunctata,0.6,0.2,0.3,15.0
Coccinella transversalis,0.8181818181818182,0.6,0.6923076923076923,15.0
Coccinella undecimpunctata,0.7058823529411765,0.8,0.75,15.0
Coelophora inaequalis,0.75,0.6,0.6666666666666666,15.0
Cornu aspersum,0.5454545454545454,0.4,0.46153846153846156,15.0
Cryptachaea gigantipes,0.6470588235294118,0.7333333333333333,0.6875,15.0
Cryptachaea veruculata,0.7333333333333333,0.7333333333333333,0.7333333333333333,15.0
Cycloneda munda,0.5652173913043478,0.8666666666666667,0.6842105263157895,15.0
Cycloneda polita,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0
Cycloneda sanguinea,0.8333333333333334,0.3333333333333333,0.47619047619047616,15.0
Darevskia praticola,0.631578947368421,0.8,0.7058823529411765,15.0
Eobania vermiculata,0.6842105263157895,0.8666666666666667,0.7647058823529411,15.0
Epilachna borealis,0.7222222222222222,0.8666666666666667,0.7878787878787878,15.0
Erigeron annuus,0.375,0.2,0.2608695652173913,15.0
Erigeron coulteri,0.41935483870967744,0.8666666666666667,0.5652173913043478,15.0
Erigeron glaucus,0.8125,0.8666666666666667,0.8387096774193549,15.0
Erigeron karvinskianus,0.8888888888888888,0.5333333333333333,0.6666666666666666,15.0
Erigeron peregrinus,0.42105263157894735,0.5333333333333333,0.47058823529411764,15.0
Erigeron philadelphicus,0.6666666666666666,0.13333333333333333,0.2222222222222222,15.0
Erigeron pulchellus,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0
Erigeron strigosus,0.4090909090909091,0.6,0.4864864864864865,15.0
Fringilla coelebs,0.8333333333333334,0.6666666666666666,0.7407407407407407,15.0
Fruticicola fruticum,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
Gallotia galloti,0.65,0.8666666666666667,0.7428571428571429,15.0
Gomphrena globosa,0.8125,0.8666666666666667,0.8387096774193549,15.0
Haemorhous mexicanus,0.6363636363636364,0.4666666666666667,0.5384615384615384,15.0
Harmonia axyridis,0.6,0.2,0.3,15.0
Harmonia conformis,0.7777777777777778,0.9333333333333333,0.8484848484848485,15.0
Harmonia quadripunctata,0.6875,0.7333333333333333,0.7096774193548387,15.0
Helicina orbiculata,0.625,0.6666666666666666,0.6451612903225806,15.0
Helix lucorum,0.8125,0.8666666666666667,0.8387096774193549,15.0
Helix pomatia,0.7777777777777778,0.9333333333333333,0.8484848484848485,15.0
Helminthoglypta nickliniana,0.25,0.2,0.2222222222222222,15.0
Helminthoglypta tudiculata,0.3333333333333333,0.4,0.36363636363636365,15.0
Henosepilachna vigintioctopunctata,0.6842105263157895,0.8666666666666667,0.7647058823529411,15.0
Hippodamia convergens,0.5238095238095238,0.7333333333333333,0.6111111111111112,15.0
Hippodamia tredecimpunctata,0.7,0.4666666666666667,0.56,15.0
Hippodamia variegata,0.5,0.4666666666666667,0.4827586206896552,15.0
Holocnemus pluchei,0.3,0.2,0.24,15.0
