,precision,recall,f1-score,support
Plestiodon fasciatus,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
Podarcis bocagei,0.3333333333333333,0.26666666666666666,0.2962962962962963,15.0
Podarcis muralis,0.08333333333333333,0.06666666666666667,0.07407407407407407,15.0
Podarcis siculus,0.3333333333333333,0.2,0.25,15.0
Poecile atricapillus,0.3,0.4,0.34285714285714286,15.0
Poecile carolinensis,0.26666666666666666,0.26666666666666666,0.26666666666666666,15.0
Prunella modularis,0.6363636363636364,0.4666666666666667,0.5384615384615385,15.0
Psammodromus algirus,0.4166666666666667,0.3333333333333333,0.3703703703703704,15.0
Psyllobora vigintiduopunctata,0.04861111111111111,0.9333333333333333,0.0924092409240924,15.0
Rumina decollata,0.8333333333333334,0.6666666666666666,0.7407407407407408,15.0
Russula sanguinea,0.8,0.8,0.8000000000000002,15.0
Scytodes thoracica,1.0,0.4,0.5714285714285715,15.0
Spizella passerina,0.4,0.13333333333333333,0.2,15.0
Spizella pusilla,0.4666666666666667,0.4666666666666667,0.4666666666666667,15.0
Spizelloides arborea,0.8333333333333334,0.6666666666666666,0.7407407407407408,15.0
Steatoda grossa,0.3333333333333333,0.26666666666666666,0.2962962962962963,15.0
Steatoda nobilis,0.35294117647058826,0.4,0.37500000000000006,15.0
Steatoda triangulosa,0.45454545454545453,0.3333333333333333,0.3846153846153846,15.0
Sturnus vulgaris,0.625,0.3333333333333333,0.43478260869565216,15.0
Subcoccinella vigintiquatuorpunctata,0.5,0.26666666666666666,0.3478260869565218,15.0
Takydromus amurensis,0.8235294117647058,0.9333333333333333,0.8749999999999999,15.0
Tanacetum parthenium,0.5,0.4,0.4444444444444445,15.0
Teira dugesii,0.2222222222222222,0.26666666666666666,0.2424242424242424,15.0
Theba pisana,0.45454545454545453,0.3333333333333333,0.3846153846153846,15.0
Thryothorus ludovicianus,0.7142857142857143,0.6666666666666666,0.689655172413793,15.0
Trifolium pratense,1.0,0.6666666666666666,0.8,15.0
Trifolium repens,0.7058823529411765,0.8,0.7500000000000001,15.0
Tripleurospermum inodorum,0.7692307692307693,0.6666666666666666,0.7142857142857142,15.0
Turdus migratorius,0.5652173913043478,0.8666666666666667,0.6842105263157895,15.0
Uta stansburiana,0.8461538461538461,0.7333333333333333,0.7857142857142856,15.0
Xerarionta stearnsiana,0.6470588235294118,0.7333333333333333,0.6875,15.0
Xeroplexa intersecta,0.5,0.6,0.5454545454545454,15.0
Xerotricha conspurcata,0.6666666666666666,0.4,0.5,15.0
Zachrysia provisoria,0.4,0.5333333333333333,0.4571428571428572,15.0
Zonotrichia albicollis,0.6153846153846154,0.5333333333333333,0.5714285714285715,15.0
Zonotrichia atricapilla,0.45454545454545453,0.3333333333333333,0.3846153846153846,15.0
Zonotrichia capensis,0.8888888888888888,0.5333333333333333,0.6666666666666667,15.0
Zonotrichia leucophrys,0.5454545454545454,0.4,0.4615384615384615,15.0
Zootoca vivipara,0.0,0.0,0.0,15.0
Zosis geniculata,1.0,0.4666666666666667,0.6363636363636364,15.0
Zygiella x-notata,0.45454545454545453,0.3333333333333333,0.3846153846153846,15.0
accuracy,0.510548523206751,0.510548523206751,0.510548523206751,0.510548523206751
macro avg,0.5831897140106351,0.510548523206751,0.522917079203795,2370.0
weighted avg,0.5831897140106352,0.510548523206751,0.5229170792037949,2370.0
