,precision,recall,f1-score,support
Adalia bipunctata,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0
Adalia decempunctata,0.5,0.5333333333333333,0.5161290322580645,15.0
Amanita aprica,0.23529411764705882,0.26666666666666666,0.25,15.0
Amanita augusta,0.5,0.2,0.2857142857142857,15.0
Amanita basii,0.625,0.6666666666666666,0.6451612903225806,15.0
Amanita caesarea,0.36363636363636365,0.26666666666666666,0.3076923076923077,15.0
Amanita citrina,0.3333333333333333,0.4666666666666667,0.3888888888888889,15.0
Amanita cokeri,0.5,0.6,0.5454545454545454,15.0
Amanita crenulata,0.2962962962962963,0.5333333333333333,0.38095238095238093,15.0
Amanita flavoconia,0.6666666666666666,0.5333333333333333,0.5925925925925926,15.0
Amanita flavorubens,0.5,0.4,0.4444444444444444,15.0
Amanita frostiana,0.7692307692307693,0.6666666666666666,0.7142857142857143,15.0
Amanita jacksonii,0.5263157894736842,0.7142857142857143,0.6060606060606061,14.0
Amanita muscaria,0.625,0.6666666666666666,0.6451612903225806,15.0
Amanita pantherina,0.7,0.4666666666666667,0.56,15.0
Amanita pantherinoides,0.5555555555555556,0.3333333333333333,0.4166666666666667,15.0
Amanita parcivolvata,0.6428571428571429,0.6,0.6206896551724138,15.0
Amanita persicina,0.2857142857142857,0.5333333333333333,0.37209302325581395,15.0
Amanita regalis,0.47619047619047616,0.6666666666666666,0.5555555555555556,15.0
Amanita rubescens,0.5714285714285714,0.26666666666666666,0.36363636363636365,15.0
Amanita velatipes,0.8181818181818182,0.6,0.6923076923076923,15.0
Amanita wellsii,0.6666666666666666,0.5333333333333333,0.5925925925925926,15.0
Amanita xanthocephala,0.7142857142857143,0.3333333333333333,0.45454545454545453,15.0
Anguis fragilis,0.6875,0.7333333333333333,0.7096774193548387,15.0
Aphanostephus ramosissimus,0.2777777777777778,0.3333333333333333,0.30303030303030304,15.0
Araneus diadematus,0.5,0.4,0.4444444444444444,15.0
Araneus pegnia,0.5,0.14285714285714285,0.2222222222222222,14.0
Arctotis acaulis,0.5263157894736842,0.6666666666666666,0.5882352941176471,15.0
Argiope aurantia,0.5625,0.6,0.5806451612903226,15.0
Arianta arbustorum,0.6666666666666666,0.5333333333333333,0.5925925925925926,15.0
Bellis annua,0.09090909090909091,0.06666666666666667,0.07692307692307693,15.0
Bellis perennis,0.25,0.26666666666666666,0.25806451612903225,15.0
Bellis sylvestris,0.4117647058823529,0.4666666666666667,0.4375,15.0
Bidens alba,0.5555555555555556,0.6666666666666666,0.6060606060606061,15.0
Brachyscome decipiens,0.3055555555555556,0.7333333333333333,0.43137254901960786,15.0
Bradybaena similaris,0.125,0.13333333333333333,0.12903225806451613,15.0
Cantareus apertus,0.4,0.4,0.4,15.0
Cepaea hortensis,0.375,0.4,0.3870967741935484,15.0
Cepaea nemoralis,0.45454545454545453,0.3333333333333333,0.38461538461538464,15.0
Cheilomenes sexmaculata,0.43478260869565216,0.6666666666666666,0.5263157894736842,15.0
Chilocorus cacti,0.2,0.2,0.2,15.0
Chilocorus renipustulatus,0.47619047619047616,0.6666666666666666,0.5555555555555556,15.0
Chondestes grammacus,0.5,0.6,0.5454545454545454,15.0
Coccinella septempunctata,0.2727272727272727,0.4,0.32432432432432434,15.0
Coccinella transversalis,0.5,0.4666666666666667,0.4827586206896552,15.0
Coccinella undecimpunctata,0.6153846153846154,0.5333333333333333,0.5714285714285714,15.0
Coelophora inaequalis,0.8,0.26666666666666666,0.4,15.0
